,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Pariser,Pariser,LOC,0.20879121,0.16483516,de,9.10000000,,2943127,T,47.40555000,11.28725000,EUROPE,Germany,WCE
Patagonien,Patagonien,LOC,-0.18315018,0.09157509,de,9.10000000,4044867-8,3841798,L,-44.00000000,-68.00000000,SOUTH-AMERICA,Argentina,SSA
Portugal,Portugal,LOC,0.07692308,0.00000000,de,9.10000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Hitze-News,Hitze-News,LOC,-0.07692308,0.00000000,de,9.10000000,,0,,,,,,
Colorado,Colorado,LOC,-0.10989011,0.00000000,de,9.10000000,4010406-0,5417618,A,39.00027000,-105.50083000,NORTH-AMERICA,United States,WNA
Kalifornien,Kalifornien,LOC,-0.32967033,0.10989011,de,9.10000000,4029307-5,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Niederösterreich,Niederösterreich,LOC,0.00000000,0.22222222,de,9.00000000,4075391-8,2770542,A,48.33333000,15.75000000,EUROPE,Austria,WCE
Land,Land,LOC,-0.30337079,0.11235955,de,8.90000000,,3421288,L,81.90000000,-56.75000000,POLAR,Greenland,GIC
Privacy Center,Privacy Center,LOC,0.00000000,0.00000000,de,8.50000000,,0,,,,,,
Cottbus,Cottbus,LOC,-0.08235294,0.00000000,de,8.50000000,4070126-8,2939811,P,51.75769000,14.32888000,EUROPE,Germany,WCE
Ägäis,Ägäis,LOC,-0.20731707,0.00000000,de,8.20000000,4068425-8,6697808,A,36.16726000,27.90603000,EUROPE-AFRICA,Greece,MED
Spaniens,Spaniens,LOC,0.17682927,0.06097561,de,8.20000000,,0,,,,,,
Argentinien,Argentinien,LOC,0.00000000,0.00000000,de,8.20000000,4002890-2,3865483,A,-34.00000000,-64.00000000,SOUTH-AMERICA,Argentina,SES
Parks,Parks,LOC,0.07317073,0.06097561,de,8.20000000,,889212,L,-16.51667000,28.98333000,AFRICA,Zimbabwe,ESAF
Elbe,Elbe,LOC,-0.30246914,0.06172840,de,8.10000000,4115252-9,2868531,P,51.43453000,13.22177000,EUROPE,Germany,WCE
Oberösterreich,Oberösterreich,LOC,0.20987654,0.12345679,de,8.10000000,4074255-6,2772400,P,48.30639000,14.28611000,EUROPE,Austria,WCE
